movie_id,title,genre,experience_type,year,rating_percent,popularity_score,age_limit,tags,synopsis,director,cast,keywords,combined_features
1,Inception,Sci-Fi|Thriller,intense,2010,87,0.9,13,cult,A skilled thief who infiltrates dreams is offered a chance to have his criminal record erased if he can successfully plant an idea in a target's subconscious.,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page","dream, subconscious, thief, heist, mind-bending",scifi thriller scifi thriller scifi thriller intense intense christophernolan christophernolan christophernolan christophernolan leonardodicaprio josephgordonlevitt ellenpage leonardodicaprio josephgordonlevitt ellenpage dream subconscious thief heist mindbending skilled thief infiltrates dreams offered chance criminal record erased successfully plant idea targets subconscious skilled thief infiltrates dreams offered chance criminal record erased successfully plant idea targets subconscious wallypfister wallypfister hanszimmer hanszimmer christophernolan christophernolan cult 2010s good highlyrated blockbuster mainstream popular trending generalaudience netflix primevideo
2,The Grand Budapest Hotel,Comedy|Drama,fun,2014,84,0.7,13,underrated,A legendary concierge at a famous European hotel and his trusted lobby boy become embroiled in the theft of a priceless painting.,Wes Anderson,"Ralph Fiennes, Tony Revolori, Adrien Brody","hotel, concierge, mystery, quirky, colorful",comedy drama comedy drama comedy drama fun fun wesanderson wesanderson wesanderson wesanderson ralphfiennes tonyrevolori adrienbrody ralphfiennes tonyrevolori adrienbrody hotel concierge mystery quirky colorful legendary concierge famous european hotel trusted lobby boy become embroiled theft priceless painting legendary concierge famous european hotel trusted lobby boy become embroiled theft priceless painting robertyeoman robertyeoman alexandredesplat alexandredesplat wesanderson wesanderson underrated 2010s good highlyrated popular known generalaudience disney primevideo
3,Finding Nemo,Animation|Adventure,fun,2003,86,0.8,0,family-safe,"A clownfish named Marlin embarks on a perilous journey across the ocean to find his abducted son Nemo, with the help of a forgetful fish named Dory.","Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould","ocean, clownfish, father-son, journey, underwater",animation adventure animation adventure animation adventure fun fun andrewstanton leeunkrich andrewstanton leeunkrich andrewstanton leeunkrich andrewstanton leeunkrich albertbrooks ellendegeneres alexandergould albertbrooks ellendegeneres alexandergould ocean clownfish fatherson journey underwater clownfish named marlin embarks perilous journey across ocean find abducted son nemo help forgetful fish named dory clownfish named marlin embarks perilous journey across ocean find abducted son nemo help forgetful fish named dory sharoncalahan jeremylasky sharoncalahan jeremylasky thomasnewman thomasnewman andrewstanton bobpeterson andrewstanton bobpeterson familysafe 2000s good highlyrated popular known familyfriendly allages kidssafe disney
4,Blade Runner 2049,Sci-Fi|Drama,intense,2017,81,0.7,16,cult|underrated,A young blade runner uncovers a long-buried secret that has the potential to plunge what's left of society into chaos.,Denis Villeneuve,"Ryan Gosling, Harrison Ford, Ana de Armas","replicant, sci-fi, cyberpunk, mystery, visuals",scifi drama scifi drama scifi drama intense intense denisvilleneuve denisvilleneuve denisvilleneuve denisvilleneuve ryangosling harrisonford anadearmas ryangosling harrisonford anadearmas replicant scifi cyberpunk mystery visuals young blade runner uncovers longburied secret potential plunge whats left society into chaos young blade runner uncovers longburied secret potential plunge whats left society into chaos rogerdeakins rogerdeakins hanszimmer benjaminwallfisch hanszimmer benjaminwallfisch hamptonfancher michaelgreen hamptonfancher michaelgreen cult underrated 2010s good highlyrated popular known teenplus primevideo appletv
5,The Shawshank Redemption,Drama,emotional,1994,91,1.0,16,cult,A banker sentenced to life in Shawshank State Penitentiary forms an unlikely friendship and finds hope through acts of common decency.,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","prison, hope, friendship, escape, justice",drama drama drama emotional emotional frankdarabont frankdarabont frankdarabont frankdarabont timrobbins morganfreeman bobgunton timrobbins morganfreeman bobgunton prison hope friendship escape justice banker sentenced life shawshank state penitentiary forms unlikely friendship finds hope acts common decency banker sentenced life shawshank state penitentiary forms unlikely friendship finds hope acts common decency rogerdeakins rogerdeakins thomasnewman thomasnewman frankdarabont frankdarabont cult 1990s excellent masterpiece highquality blockbuster mainstream popular trending teenplus netflix hbomax
6,My Neighbor Totoro,Animation|Fantasy,relaxing,1988,88,0.7,0,family-safe|cult,"Two young girls move to the countryside and befriend playful forest spirits, including the lovable giant creature Totoro.",Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi","spirits, childhood, nature, countryside, fantasy",animation fantasy animation fantasy animation fantasy relaxing relaxing hayaomiyazaki hayaomiyazaki hayaomiyazaki hayaomiyazaki norikohidaka chikasakamoto shigesatoitoi norikohidaka chikasakamoto shigesatoitoi spirits childhood nature countryside fantasy two young girls move countryside befriend playful forest spirits including lovable giant creature totoro two young girls move countryside befriend playful forest spirits including lovable giant creature totoro hisaoshirai hisaoshirai joehisaishi joehisaishi hayaomiyazaki hayaomiyazaki familysafe cult 1980s good highlyrated popular known familyfriendly allages kidssafe netflix hbomax
7,Pulp Fiction,Crime|Drama,intense,1994,89,0.9,18,cult,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","crime, nonlinear, violence, dialogue-heavy, cult classic",crime drama crime drama crime drama intense intense quentintarantino quentintarantino quentintarantino quentintarantino johntravolta umathurman samuelljackson johntravolta umathurman samuelljackson crime nonlinear violence dialogueheavy cult classic lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption andrzejsekuła andrzejsekuła quentintarantino quentintarantino cult 1990s good highlyrated blockbuster mainstream popular trending mature adultcontent rrated primevideo paramount
8,Coco,Animation|Family|Fantasy,emotional,2017,90,0.8,0,family-safe,A young boy who dreams of becoming a musician journeys to the Land of the Dead to uncover his family's history.,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt","music, family, afterlife, mexican culture, ancestors",animation family fantasy animation family fantasy animation family fantasy emotional emotional leeunkrich adrianmolina leeunkrich adrianmolina leeunkrich adrianmolina leeunkrich adrianmolina anthonygonzalez gaelgarcíabernal benjaminbratt anthonygonzalez gaelgarcíabernal benjaminbratt music family afterlife mexican culture ancestors young boy dreams becoming musician journeys land dead uncover familys history young boy dreams becoming musician journeys land dead uncover familys history mattaspbury daniellefeinberg mattaspbury daniellefeinberg michaelgiacchino michaelgiacchino adrianmolina matthewaldrich adrianmolina matthewaldrich familysafe 2010s excellent masterpiece highquality popular known familyfriendly allages kidssafe disney
9,Drive,Action|Drama,intense,2011,79,0.7,18,cult|underrated,A Hollywood stunt driver who moonlights as a getaway driver finds himself in trouble when he helps his neighbour.,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston","getaway driver, stunt, neo-noir, crime, heist",action drama action drama action drama intense intense nicolaswindingrefn nicolaswindingrefn nicolaswindingrefn nicolaswindingrefn ryangosling careymulligan bryancranston ryangosling careymulligan bryancranston getaway driver stunt neonoir crime heist hollywood stunt driver moonlights getaway driver finds trouble helps neighbour hollywood stunt driver moonlights getaway driver finds trouble helps neighbour newtonthomassigel newtonthomassigel cliffmartinez cliffmartinez hosseinamini hosseinamini cult underrated 2010s average decent popular known mature adultcontent rrated primevideo appletv
10,The Secret Life of Walter Mitty,Adventure|Comedy|Drama,relaxing,2013,65,0.6,0,underrated|family-safe,"A daydreamer escapes his anonymous life by disappearing into a world of fantasies of romance, heroism, and action.",Ben Stiller,"Ben Stiller, Kristen Wiig, Sean Penn","daydream, adventure, photography, iceland, self-discovery",adventure comedy drama adventure comedy drama adventure comedy drama relaxing relaxing benstiller benstiller benstiller benstiller benstiller kristenwiig seanpenn benstiller kristenwiig seanpenn daydream adventure photography iceland selfdiscovery daydreamer escapes anonymous life disappearing into world fantasies romance heroism action daydreamer escapes anonymous life disappearing into world fantasies romance heroism action stuartdryburgh stuartdryburgh theodoreshapiro theodoreshapiro steveconrad steveconrad underrated familysafe 2010s belowaverage niche indie hiddengem familyfriendly allages kidssafe disney primevideo
